name,score
ISL,1800
IAH,440
SAM,1520
NAT,1800
BAR,4170
ARS,1120
ARS,800
QQQ,1200
CAM,1040
JES,1760
SUS,840
SUS,1800
KOB,240
LPG,2770
JNL,2370
TOM,3300
GEM,3580
BOB,1800
RBT,4120
YIU,1480
C..,3700
TOD,200
LOU,3680
LOU,2060
SLB,2730
JHD,3820
EMZ,1800
MAI,440
AGC,1800
JGW,120
JAC,520
RHM,4190
MHG,4770
DMM,200
DMM,3180
DMM,3760
DMM,40
ODJ,520
.IL,640
.IV,840
FHF,840
WQE,800
WQA,880
TGG,520
II.,880
RFG,800
QAA,160
AMY,1480
JMH,1120
JMH,800
JMH,520
ZEK,480
JMH,1200
CMP,3180
AIP,520
PPP,1840
RIP,120
MEG,2700
EIL,200
ANT,1080
HAN,1840
MEG,1480
NMN,1080
MSH,1720
MSH,3300
ILL,1120
FHY,120
SWW,800
NPW,160
ROX,1840
BOB,120
WGH,0
DFG,1160
QFF,3770
FGH,2800
FHJ,200
PAR,1520
SE.,400
OIU,1200
MIK,4720
ALI,1120
ALI,1120
DAN,1800
ASS,3710
DAM,3590
CCC,3180
CAT,800
SFH,3570
GEN,1480
EVE,1840
DAD,1160
TOM,1520
DAV,880
ANT,3690
AMY,1160
ANT,1760
HGJ,6360
AMC,3370
LO.,1800
ALF,1840
IEW,840
AFY,1120
FGY,1480
SAR,1440
IDA,680
MUC,4800
DAN,3230
AEL,3680
RED,1160
RHY,880
CAL,80
BOB,1160
CAL,1800
GMM,1200
CAL,2730
CXC,160
JOE,1440
JOE,560
JOE,80
JOQ,840
MAZ,1160
HG.,1840
IMR,3140
PPP,1160
JEN,120
DAV,1760
CAN,1840
MPP,200
TOM,760
TOM,1120
DEC,1360
CSM,1760
TJD,520
LOO,1720
JEN,400
GEF,480
JAS,4600
YGH,1160
JOE,2700
HES,1680
FIN,1760
TOT,3300
JJK,440
CAM,160
JAC,1120
MON,1160
ALG,1400
KOO,1400
DSG,4770
GDZ,3270
HHD,240
EDB,1120
EDB,1120
JOB,1440
YTU,3770
HFG,4270
JON,1480
CPL,760
CHR,4200
LAW,3690
ABI,2110
GAZ,2650
FCU,160
EMG,120
HAR,1640
HCO,1840
QWE,4680
KJJ,1760
FFF,1760
YYY,7380
KAY,1520
EWA,1760
LEX,80
LAR,1160
LIS,1080
TEU,120
JJH,1440
EMA,1440
PHO,520
BEC,1760
FIN,400
AND,1800
EMM,4670
ALB,1160
